Title;Project;Description
[P2] Создать страницы управления проектами;Universal Platform Roadmap;Добавить admin UI для создания, редактирования и архивирования проектов, а также управления участниками.
[P2] Создать страницы управления командами;Universal Platform Roadmap;Добавить admin UI для создания команд, управления участниками и привязкой команд к проектам.
[P2] Переделать карточки под project context;Universal Platform Roadmap;Списки карточек, канбан, dashboard и filters должны работать в рамках выбранного проекта.
[P2] Переделать спринты под project context;Universal Platform Roadmap;Спринты должны создаваться, редактироваться и отображаться в рамках выбранного проекта.
[P3] Добавить workflowTemplate в Project;Universal Platform Roadmap;Проект должен хранить тип процесса. Стартовые шаблоны: STANDARD, SIMPLE, REVIEW_BASED, APPROVAL_BASED.
[P3] Описать системные workflow templates;Universal Platform Roadmap;Для каждого workflow template определить статусы, допустимые переходы и базовые бизнес-правила.
[P3] Вынести логику переходов из CardsService;Universal Platform Roadmap;Перенести status validation в отдельный workflow service или rules layer.
[P3] Реализовать project-aware transition validator;Universal Platform Roadmap;Сделать так, чтобы проверка переходов зависела от workflowTemplate проекта.
[P3] Сделать dynamic action availability на фронте;Universal Platform Roadmap;UI смены статуса должен строиться из workflow проекта, а не из глобально зашитого enum сценария.
[P3] Сделать dynamic kanban columns;Universal Platform Roadmap;Колонки канбан-доски должны зависеть от workflow проекта.
[P3] Переделать статусные отчёты;Universal Platform Roadmap;Отчёты и метрики по статусам должны работать не только для одного фиксированного workflow.
[P4] Добавить cardTemplate в Project;Universal Platform Roadmap;Проект должен хранить шаблон карточки, определяющий состав полей и обязательность блоков.
[P4] Добавить ProjectCardConfig;Universal Platform Roadmap;Создать конфигурацию карточки проекта. Поля: requiresDataSource, requiresSourceMaterials, requiresResult, requiresReviewer, requiresSprint, requiresDueDate, requiresPeriod, supportsInstructions, supportsComponents, allowsChildCards.
[P4] Определить core card fields;Universal Platform Roadmap;Зафиксировать ядро карточки, которое остаётся у всех проектов, и отделить optional sections от core model.
[P4] Сделать project-aware create validation;Universal Platform Roadmap;Валидация создания карточки должна учитывать card config проекта.
[P4] Сделать project-aware update validation;Universal Platform Roadmap;Валидация обновления карточки должна учитывать card config проекта.
[P4] Ограничить выбор исполнителей и проверяющих проектом;Universal Platform Roadmap;Исполнители и проверяющие должны выбираться только из участников проекта.
[P4] Сделать dynamic card form;Universal Platform Roadmap;Форма карточки должна показывать только релевантные для проекта блоки и поля.
[P4] Подготовить архитектуру custom fields;Universal Platform Roadmap;Спроектировать будущее расширение через definitions и values, но не реализовывать full low-code builder на первом релизе.
[P5] Определить модель Work Item;Universal Platform Roadmap;Решить, остаётся ли термин Card или вводится Work Item. Подготовить roadmap эволюции task object.
[P5] Добавить типы задач;Universal Platform Roadmap;Поддержать task categories или work item types для разных сценариев использования.
[P5] Расширить связи между задачами;Universal Platform Roadmap;Добавить зависимости, parent-child, related links и richer work relationships.
[P5] Добавить backlog view;Universal Platform Roadmap;Реализовать отдельный режим backlog наряду с канбаном.
[P5] Подготовить milestone/release abstraction;Universal Platform Roadmap;Сделать основу для roadmap planning и release planning сверх спринтов.
[P5] Сделать универсальный reporting layer;Universal Platform Roadmap;Создать общую аналитическую прослойку для отчётов по проектам, статусам, типам задач и SLA.
[P6] Ввести KnowledgeSpace;Universal Platform Roadmap;Создать пространство знаний как отдельный домен поверх текущих инструкций.
[P6] Обобщить Instruction до Article/Document;Universal Platform Roadmap;Эволюционировать текущую модель инструкций в универсальную knowledge/documentation model.
[P6] Добавить роли внутри пространства знаний;Universal Platform Roadmap;Поддержать owners, editors, publishers, viewers для knowledge spaces.
[P6] Добавить версии и publication flow;Universal Platform Roadmap;Поддержать черновики, публикацию, скрытие, архивирование и историю версий для документов.
[P6] Связать знания с проектами;Universal Platform Roadmap;Документы и статьи должны иметь возможность привязки к проекту.
[P6] Связать знания с задачами;Universal Platform Roadmap;Knowledge articles должны уметь связываться с work items и отображаться в контексте задачи.
[P6] Добавить шаблоны документов;Universal Platform Roadmap;Поддержать reusable page templates для onboarding, регламентов, runbooks, SOP и других сценариев.
[P6] Добавить поиск по knowledge base;Universal Platform Roadmap;Нужен полнотекстовый поиск по заголовкам, содержимому и связям документов.
[P6] Переделать frontend инструкций в spaces UX;Universal Platform Roadmap;Раздел инструкций должен эволюционировать в интерфейс пространств знаний с деревом документов и navigation UX.
[P7] Создать chat data model;Universal Platform Roadmap;Добавить Channel, ChannelMember, DirectChat, Message, MessageAttachment, MessageReadState.
[P7] Определить типы каналов;Universal Platform Roadmap;Поддержать team general, team channel, project channel, direct chat.
[P7] Создать backend chat module;Universal Platform Roadmap;Реализовать базовый backend модуль корпоративного чата.
[P7] Реализовать API каналов;Universal Platform Roadmap;Создать API для списков каналов, создания каналов, membership management и direct chats.
[P7] Реализовать API сообщений;Universal Platform Roadmap;Добавить создание, чтение, редактирование, удаление и пагинацию сообщений.
[P7] Добавить WebSocket realtime;Universal Platform Roadmap;Сделать realtime layer для новых сообщений, обновлений и read state.
[P7] Реализовать unread/read model;Universal Platform Roadmap;Поддержать счётчики непрочитанных и отметки прочтения по каналам и ЛС.
[P7] Интегрировать system messages;Universal Platform Roadmap;Сделать сообщения в чат по событиям задач и документов.
[P7] Создать frontend chat workspace;Universal Platform Roadmap;Добавить раздел чатов с левой навигацией и окном обсуждения.
[P7] Добавить composer и attachments;Universal Platform Roadmap;Поддержать ввод текста, вложения и базовую обработку сообщений в UI.
[P8] Спроектировать многоуровневую роль-модель;Universal Platform Roadmap;Ввести system roles, organization roles, project roles, space roles, channel roles.
[P8] Вынести доступы в policy layer;Universal Platform Roadmap;Перевести проверки доступа от простых ролей к policy-based authorization.
[P8] Сделать admin UX для ролей;Universal Platform Roadmap;Добавить интерфейсы назначения ролей и управления доступом в разных контекстах.
[P8] Добавить аудит access changes;Universal Platform Roadmap;Критичные изменения прав должны логироваться и быть просматриваемыми администраторами.
[P9] Подготовить onboarding новой организации;Universal Platform Roadmap;Сделать setup wizard для первой настройки tenant/company.
[P9] Подготовить шаблоны внедрения;Universal Platform Roadmap;Сделать default templates по workflow, карточкам, knowledge spaces и каналам для разных типов компаний.
[P9] Подготовить production deployment presets;Universal Platform Roadmap;Сделать deployment guide и environment presets для self-hosted внедрения.
[P9] Добавить observability baseline;Universal Platform Roadmap;Health endpoints, structured logs, metrics, alert hooks и runbooks.
[P9] Подготовить admin guide и user guide;Universal Platform Roadmap;Сформировать эксплуатационную документацию для внедрения и работы продукта.
[P9] Подготовить desktop-client release flow;Universal Platform Roadmap;Сформировать lifecycle desktop-приложения как companion app универсальной платформы.
